,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADGRD2,8.69876260534117,2.19089929090637,0.635038315597604,3.45002693080751,0.000560530632722817,0.00189098160869014
ADGRE1,102.052361614169,1.85427632735079,0.505305076373474,3.66961745300236,0.000242913709914834,0.000906251854233528
ADGRG4,1.88622131605707,-5.21779464102944,0.636314120918279,-8.20002962294711,2.40327801759661e-16,9.42543558915364e-15
ADGRG7,16.6971584463093,2.23958736905952,0.736042818999925,3.04274060047551,0.00234434323203057,0.00658897582484359
ADH1B,819.959784314255,-4.49766816926324,0.664900135715223,-6.76442660735084,1.33838182926182e-11,2.35063889392915e-10
ADH4,21.0122096371805,1.55588477435604,0.581402036262407,2.67609103049961,0.00744864108433486,0.0179449379792464
ADM2,277.719689246294,2.23873530724114,0.365397859560377,6.12684297038479,8.96398605505993e-10,1.1172518947233e-08
ADRA1A,6.04258287003788,-2.14795436945626,0.684416010743506,-3.13837539703792,0.00169887147767538,0.00498500318062631
ADRA1D,23.1396760594037,-2.90049731088393,0.442184361519715,-6.5594751042651,5.39975071977972e-11,8.47692125018884e-10
ADRA2A,238.46371366635,-1.7760141412687,0.388849705276639,-4.56735370290481,4.93920172884422e-06,2.8214204831931e-05
ADRB3,36.62501427136,-3.76688183591051,0.589373833961066,-6.39132859121695,1.6445055872456e-10,2.33406234179526e-09
AFAP1-AS1,515.705821174192,4.18702374505949,0.658442845760057,6.35897826519219,2.03100139629561e-10,2.83064751212958e-09
AFF3,197.606462548202,-3.86876821521933,0.474344795499523,-8.15602543113223,3.46229576491095e-16,1.3139591703784e-14
AGAP1-IT1,11.266447686089,1.90726659463322,0.409922293766459,4.65275156690996,3.2753477245037e-06,1.93624950169196e-05
AGAP12P,30.8877344999942,1.50830468057785,0.422152781734605,3.57288817186115,0.000353065562277198,0.00125558304252311
AGRN,23949.2199299965,1.57852520629662,0.193622520510677,8.1525909389738,3.5620890010716e-16,1.34933876528647e-14
AGRP,4.18933655409902,1.83641480714776,0.450018430294621,4.08075466141572,4.488971723205e-05,0.000202532915267692
AGTR1,103.968896464911,-3.41772398197466,0.516036228982794,-6.62303107809241,3.51906996802273e-11,5.75230597571197e-10
AHNAK,39068.9532921812,-1.61263282963177,0.241078722655239,-6.68923749002088,2.2433641325634e-11,3.78981712440201e-10
AHSG,10.318884284636,5.22681691423652,1.11783036347426,4.67585877520037,2.92726012604927e-06,1.75052048162828e-05
AIFM3,513.889204901318,1.82456439918942,0.388998839784222,4.69041090251455,2.72656938553283e-06,1.63978291032397e-05
AIM2,1046.83229250287,1.91637852182342,0.509561711871968,3.76083696473829,0.000169345782126354,0.000657077027030382
AKAP12,2416.23032885595,-2.7063093222683,0.353841820365739,-7.64835914384286,2.03560025308584e-14,5.6981405319041e-13
AKAP6,257.984002525286,-3.86853371276845,0.387594087991633,-9.98088937014943,1.84802815722649e-23,3.10997816482328e-21
AKR1B15,294.933315092529,2.597105401434,0.563607485122342,4.6080037437229,4.06553345244738e-06,2.36433616917545e-05
AKR1C4,9.52933416972724,2.60090056471802,0.666448266165804,3.90262935138456,9.51533571596535e-05,0.000394739301747122
AKT3,1214.80790829189,-1.93725797551631,0.30624340560109,-6.32587654161529,2.51799081408494e-10,3.44601480216138e-09
ALB,173.637363345465,5.85299888782527,0.813684453058193,7.19320476854026,6.32879152937682e-13,1.37932856462582e-11
ALDH1B1,2919.56117321694,-2.66117391031014,0.261158230109219,-10.18989104497,2.20010648744531e-24,4.48054713837715e-22
ALDH2,2973.93314397365,-1.79950248008867,0.352093047158508,-5.11087195447672,3.206752828121e-07,2.36490030826013e-06
ALDOB,22.1492517457939,1.78320952733007,0.615558677419258,2.89689609251584,0.00376874557060823,0.00993098458883683
ALKAL2,20.491388202706,-2.34468731310252,0.374028264578509,-6.26874366231317,3.63972730604038e-10,4.84090274053232e-09
